origin_norm,destination_norm,vehicle_norm,unit,median_rate_usd,median_distance_km,p25,p75,samples,key
SHUWEIHAT Site,Mammoet Rak,FB,per truck,679.0,233.15,679.0,679.0,2,SHUWEIHAT SITE||MAMMOET RAK||FB||per truck
Sas Power Industries Fze,Al Masaood (MOSB),FB,per truck,1200.0,5.7,1200.0,1200.0,1,SAS POWER INDUSTRIES FZE||AL MASAOOD (MOSB)||FB||per truck
Sas Power Industries Fze,MIRFA SITE,FB,per truck,1570.0,129.81,1570.0,1570.0,1,SAS POWER INDUSTRIES FZE||MIRFA SITE||FB||per truck
Sas Power Industries Fze,SHUWEIHAT Site,FB,per truck,1780.0,233.15,1780.0,1790.0,3,SAS POWER INDUSTRIES FZE||SHUWEIHAT SITE||FB||per truck
Sharjah,Jubail,FB,per truck,5290.81,,5290.81,5290.81,1,SHARJAH||JUBAIL||FB||per truck
Siemens Masdar,SHUWEIHAT Site,3 TON PU,per truck,250.0,233.15,250.0,250.0,2,SIEMENS MASDAR||SHUWEIHAT SITE||3 TON PU||per truck
Tareej (Sharjah),MIRFA SITE,FB,per truck,1170.0,234.1,1170.0,1170.0,1,TAREEJ (SHARJAH)||MIRFA SITE||FB||per truck
Tareej Shj,Al Masaood (MOSB),FB,per truck,800.0,5.7,800.0,800.0,1,TAREEJ SHJ||AL MASAOOD (MOSB)||FB||per truck
Tesla Dubai,Al Masaood (MOSB),3 TON PU,per truck,250.0,129.0,250.0,250.0,1,TESLA DUBAI||AL MASAOOD (MOSB)||3 TON PU||per truck
Tesla Dubai,M44 Warehouse,FB,per truck,400.0,147.02,400.0,400.0,6,TESLA DUBAI||M44 WAREHOUSE||FB||per truck
Usg Middle East Dubai Investment Park,Al Masaood (MOSB),3 TON PU,per truck,200.0,98.6,200.0,200.0,1,USG MIDDLE EAST DUBAI INVESTMENT PARK||AL MASAOOD (MOSB)||3 TON PU||per truck
